226,"四",184874,"si4","four/4","number"
227,"神",184554,"shen2","God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being","none"
228,"总",184470,"zong3","always/to assemble/gather/total/overall/head/chief/general/in every case","none"
229,"何",184335,"he2","carry/what/how/why/which","preposition"
230,"电",183834,"dian4","electric/electricity/electrical","none"
231,"数",183312,"shu3/shu4/shuo4","to count, number/figure/to count/to calculate/several, frequently/repeatedly","number"
232,"安",183210,"an1","content/calm/still/quiet/to pacify/peace","none"
233,"少",183018,"shao3/shao4","few/little/lack, young","none"
234,"报",182411,"bao4","to announce/to inform/report/newspaper/recompense/revenge","none"
235,"才",181725,"cai2","ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until","none"
236,"结",181674,"jie1/jie2","knot/sturdy/to bear (fruit)/bond/to tie/to bind","verb"
237,"反",181385,"fan3","wrong side out or up/anti-","none"
238,"受",180928,"shou4","to bear/to stand/to endure/(passive marker)/to receive","none"
239,"目",180827,"mu4","eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title","none"
240,"太",180490,"tai4","highest/greatest/too (much)/very/extremely","basic"
241,"量",180008,"liang2/liang4","to measure, capacity/quantity/amount/to estimate","none"
242,"再",179607,"zai4","again/once more/re-/second/another","none"
243,"感",178383,"gan3","to feel/to move/to touch/to affect","verb"
244,"建",178289,"jian4","to establish/to found/to set up/to build/to construct","verb"
245,"务",176085,"wu4","affair/business/matter","none"
246,"做",175580,"zuo4","to do/to make/to produce","verb"
247,"接",175473,"jie1","to extend/to connect/to receive/to join","none"
248,"必",174963,"bi4","certainly/must/will/necessarily","none"
249,"场",173632,"chang3","a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)","none"
250,"件",172895,"jian4","a measure word for thing, clothes, item","none"
251,"计",171949,"ji4","to calculate/to compute/to count/reckon/ruse/to plan","verb"
252,"管",170746,"guan3","to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe","verb"
253,"期",169806,"qi1","a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope","time"
254,"市",169522,"shi4","market/city","none"
255,"直",169439,"zhi2","straight/vertical/frank/directly/straightly/upright","none"
256,"德",168917,"de2","Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind","none"
257,"资",168890,"zi1","resources/capital/to provide/to supply/to support/money/expense","none"
258,"命",168358,"ming4","life/fate","none"
259,"山",168142,"shan1","mountain/hill","none"
260,"金",167912,"jin1","metal/money/gold","none"
261,"指",166865,"zhi3","finger/to point/to direct/to indicate","none"
262,"克",166044,"ke4","gram/subdue/to restrain/to overcome, subdue","none"
263,"许",166034,"xu3","to allow/to permit/to praise/(surname)","none"
264,"统",165820,"tong3","to gather/to unite/to unify/whole","none"
265,"区",164775,"ou1/qu1","Ou (surname), area/region/district/small/distinguish","none"
266,"保",164424,"bao3","to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard","none"
267,"至",163582,"zhi4","arrive/most/to/until","none"
268,"队",162938,"dui4","squadron/team/group","none"
269,"形",162049,"xing2","to appear/to look/form/shape","none"
270,"社",159527,"she4","society/group","none"
271,"便",159479,"bian4/pian2","ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap","none"
272,"空",158539,"kong1/kong4","air/sky/empty/in vain, emptied/leisure","none"
273,"决",157959,"jue2","breach (a dyke)/to decide/to determine","none"
274,"治",156904,"zhi4","to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal","none"
275,"展",156759,"zhan3","to use/to spread out/to postpone/to unfold","none"
276,"马",155772,"ma3","horse/horse chess piece/Surname","none"
277,"科",155750,"ke1","branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody","none"
278,"司",155229,"si1","company/control","none"
279,"五",154316,"wu3","five/5","number"
280,"基",153462,"ji1","base/foundation/basic/radical (chem.)","none"
